task,metric_group,metric,ResNet18,ResNet34,ResNet50,EfficientNet-b0,VGG16,ViT
multiclass,overall,accuracy,89.07,88.26,89.07,86.23,85.42,80.36
multiclass,macro,precision,73.66,58.02,74.62,66.82,40.67,54.56
multiclass,macro,sensitivity,53.43,52.58,61.57,49.42,36.72,62.30
multiclass,macro,specificity,86.98,87.44,84.63,84.88,81.29,89.03
multiclass,macro,f1_score,59.07,54.61,65.99,53.84,38.27,56.95
multiclass,macro,auc,0.92,0.91,0.91,0.90,0.77,0.90
multiclass,micro,precision,89.07,88.26,89.07,86.23,85.42,80.36
multiclass,micro,sensitivity,89.07,88.26,89.07,86.23,85.42,80.36
multiclass,micro,specificity,96.36,96.09,96.36,95.41,95.14,93.45
multiclass,micro,f1_score,89.07,88.26,89.07,86.23,85.42,80.36
multiclass,micro,auc,0.97,0.97,0.97,0.97,0.96,0.96
multiclass,class_normal,precision,93.26,93.64,91.83,92.25,90.24,95.56
multiclass,class_normal,sensitivity,96.51,95.81,96.74,94.19,94.65,85.12
multiclass,class_normal,specificity,53.12,56.25,42.19,46.87,31.25,73.44
multiclass,class_normal,f1_score,94.86,94.71,94.22,93.21,92.39,90.04
multiclass,class_variation,precision,72.31,38.46,40.00,31.03,28.00,23.53
multiclass,class_variation,sensitivity,29.73,27.03,16.22,24.32,18.92,43.24
multiclass,class_variation,specificity,96.72,96.50,98.03,95.62,96.06,88.62
multiclass,class_variation,f1_score,34.92,31.75,23.08,27.27,22.58,30.48
multiclass,class_opmd,precision,59.09,50.00,66.67,44.00,44.44,32.50
multiclass,class_opmd,sensitivity,54.17,54.17,66.67,45.83,33.33,54.17
multiclass,class_opmd,specificity,98.08,97.23,98.30,97.02,97.87,94.25
multiclass,class_opmd,f1_score,56.52,52.00,66.67,44.90,38.09,40.62
multiclass,class_oc,precision,100.00,50.00,100.00,100.00,0.00,66.67
multiclass,class_oc,sensitivity,33.33,33.33,66.67,33.33,0.00,66.67
multiclass,class_oc,specificity,100.00,99.80,100.00,100.00,100.00,99.80
multiclass,class_oc,f1_score,50.00,40.00,80.00,50.00,0.00,66.67
