task,metric_group,metric,yolov8m,yolov11m,yolo26m
binary,overall,accuracy,92.11,91.9,93.32
binary,macro,auc,0.91,0.88,0.87
binary,macro,f1_score,81.37,81.3,84.24
binary,macro,precision,84.2,83.22,87.31
binary,macro,sensitivity,79.14,79.67,81.79
binary,macro,specificity,79.14,79.67,81.79
binary,micro,f1_score,92.11,91.9,93.32
binary,micro,precision,92.11,91.9,93.32
binary,micro,sensitivity,92.11,91.9,93.32
binary,micro,specificity,92.11,91.9,93.32
binary,class_abnormal,auc,0.91,0.88,0.87
binary,class_abnormal,f1_score,67.23,67.21,72.27
binary,class_abnormal,precision,74.07,71.93,79.63
binary,class_abnormal,sensitivity,61.54,63.08,66.15
binary,class_abnormal,specificity,96.74,96.27,97.44
binary,class_normal,auc,0.91,0.88,0.87
binary,class_normal,f1_score,95.51,95.38,96.2
binary,class_normal,precision,94.32,94.51,95.0
binary,class_normal,sensitivity,96.74,96.27,97.44
binary,class_normal,specificity,61.54,63.08,66.15
one_stage,overall,accuracy,91.3,90.08,90.69
one_stage,macro,auc,0.92,0.92,0.93
one_stage,macro,f1_score,61.36,58.8,71.46
one_stage,macro,precision,81.41,77.86,77.13
one_stage,macro,sensitivity,57.06,52.94,69.57
one_stage,macro,specificity,89.42,87.11,89.92
one_stage,micro,f1_score,91.3,90.08,90.69
one_stage,micro,precision,91.3,90.08,90.69
one_stage,micro,sensitivity,91.3,90.08,90.69
one_stage,micro,specificity,91.3,90.08,90.69
one_stage,class_normal,auc,0.9,0.89,0.92
one_stage,class_normal,f1_score,96.11,95.22,95.73
one_stage,class_normal,precision,94.38,93.1,94.75
one_stage,class_normal,sensitivity,97.9,97.44,96.74
one_stage,class_normal,specificity,61.54,52.31,64.62
one_stage,class_oc,auc,1.0,0.99,1.0
one_stage,class_oc,f1_score,40.0,40.0,85.71
one_stage,class_oc,precision,100.0,100.0,100.0
one_stage,class_oc,sensitivity,25.0,25.0,75.0
one_stage,class_oc,specificity,100.0,100.0,100.0
one_stage,class_opmd,auc,0.97,0.95,0.97
one_stage,class_opmd,f1_score,63.16,57.14,64.41
one_stage,class_opmd,precision,56.25,58.33,55.88
one_stage,class_opmd,sensitivity,72.0,56.0,76.0
one_stage,class_opmd,specificity,97.01,97.87,96.8
one_stage,class_variation,auc,0.82,0.83,0.83
one_stage,class_variation,f1_score,46.15,42.86,40.0
one_stage,class_variation,precision,75.0,60.0,57.89
one_stage,class_variation,sensitivity,33.33,33.33,30.56
one_stage,class_variation,specificity,99.13,98.25,98.25
stage2,overall,accuracy,86.15,83.08,84.62
stage2,macro,auc,0.93,0.92,0.94
stage2,macro,f1_score,89.77,83.66,84.47
stage2,macro,precision,89.94,87.83,89.62
stage2,macro,sensitivity,89.63,80.78,80.89
stage2,macro,specificity,90.92,89.25,89.45
stage2,micro,f1_score,86.15,83.08,84.62
stage2,micro,precision,86.15,83.08,84.62
stage2,micro,sensitivity,86.15,83.08,84.62
stage2,micro,specificity,86.15,83.08,84.62
stage2,class_oc,auc,1.0,1.0,0.99
stage2,class_oc,f1_score,100.0,85.71,85.71
stage2,class_oc,precision,100.0,100.0,100.0
stage2,class_oc,sensitivity,100.0,75.0,75.0
stage2,class_oc,specificity,100.0,100.0,100.0
stage2,class_opmd,auc,0.9,0.89,0.91
stage2,class_opmd,f1_score,81.63,80.77,80.85
stage2,class_opmd,precision,83.33,77.78,86.36
stage2,class_opmd,sensitivity,80.0,84.0,76.0
stage2,class_opmd,specificity,90.0,85.0,92.5
stage2,class_variation,auc,0.9,0.89,0.91
stage2,class_variation,f1_score,87.67,84.51,86.84
stage2,class_variation,precision,86.49,85.71,82.5
stage2,class_variation,sensitivity,88.89,83.33,91.67
stage2,class_variation,specificity,82.76,82.76,75.86
two_stage_e2e,overall,accuracy,90.89,89.88,91.7
two_stage_e2e,macro,auc,0.81,0.81,0.83
two_stage_e2e,macro,f1_score,70.82,65.75,70.1
two_stage_e2e,macro,precision,73.17,74.6,80.57
two_stage_e2e,macro,sensitivity,69.96,62.21,65.28
two_stage_e2e,macro,specificity,89.31,89.37,90.52
two_stage_e2e,micro,f1_score,90.89,89.88,91.7
two_stage_e2e,micro,precision,90.89,89.88,91.7
two_stage_e2e,micro,sensitivity,90.89,89.88,91.7
two_stage_e2e,micro,specificity,90.89,89.88,91.7
two_stage_e2e,class_normal,auc,0.79,0.8,0.82
two_stage_e2e,class_normal,f1_score,95.51,95.38,96.2
two_stage_e2e,class_normal,precision,94.32,94.51,95.0
two_stage_e2e,class_normal,sensitivity,96.74,96.27,97.44
two_stage_e2e,class_normal,specificity,61.54,63.08,66.15
two_stage_e2e,class_oc,auc,0.86,0.85,0.85
two_stage_e2e,class_oc,f1_score,75.0,66.67,66.67
two_stage_e2e,class_oc,precision,75.0,100.0,100.0
two_stage_e2e,class_oc,sensitivity,75.0,50.0,50.0
two_stage_e2e,class_oc,specificity,99.8,100.0,100.0
two_stage_e2e,class_opmd,auc,0.92,0.9,0.92
two_stage_e2e,class_opmd,f1_score,67.92,64.29,66.67
two_stage_e2e,class_opmd,precision,64.29,58.06,62.07
two_stage_e2e,class_opmd,sensitivity,72.0,72.0,72.0
two_stage_e2e,class_opmd,specificity,97.87,97.23,97.65
two_stage_e2e,class_variation,auc,0.68,0.7,0.73
two_stage_e2e,class_variation,f1_score,44.83,36.67,50.85
two_stage_e2e,class_variation,precision,59.09,45.83,65.22
two_stage_e2e,class_variation,sensitivity,36.11,30.56,41.67
two_stage_e2e,class_variation,specificity,98.03,97.16,98.25
