model,task,group,accuracy,auc,f1_score,precision,sensitivity,specificity
yolo26m,binary,macro,,0.87,84.24,87.31,81.79,81.79
yolo26m,binary,micro,,,93.32,93.32,93.32,93.32
yolo26m,binary,overall,93.32,,,,,
yolo26m,one_stage,macro,,0.93,71.46,77.13,69.57,89.92
yolo26m,one_stage,micro,,,90.69,90.69,90.69,90.69
yolo26m,one_stage,overall,90.69,,,,,
yolo26m,stage2,macro,,0.94,84.47,89.62,80.89,89.45
yolo26m,stage2,micro,,,84.62,84.62,84.62,84.62
yolo26m,stage2,overall,84.62,,,,,
yolo26m,two_stage_e2e,macro,,0.83,70.1,80.57,65.28,90.52
yolo26m,two_stage_e2e,micro,,,91.7,91.7,91.7,91.7
yolo26m,two_stage_e2e,overall,91.7,,,,,
yolov11m,binary,macro,,0.88,81.3,83.22,79.67,79.67
yolov11m,binary,micro,,,91.9,91.9,91.9,91.9
yolov11m,binary,overall,91.9,,,,,
yolov11m,one_stage,macro,,0.92,58.8,77.86,52.94,87.11
yolov11m,one_stage,micro,,,90.08,90.08,90.08,90.08
yolov11m,one_stage,overall,90.08,,,,,
yolov11m,stage2,macro,,0.92,83.66,87.83,80.78,89.25
yolov11m,stage2,micro,,,83.08,83.08,83.08,83.08
yolov11m,stage2,overall,83.08,,,,,
yolov11m,two_stage_e2e,macro,,0.81,65.75,74.6,62.21,89.37
yolov11m,two_stage_e2e,micro,,,89.88,89.88,89.88,89.88
yolov11m,two_stage_e2e,overall,89.88,,,,,
yolov8m,binary,macro,,0.91,81.37,84.2,79.14,79.14
yolov8m,binary,micro,,,92.11,92.11,92.11,92.11
yolov8m,binary,overall,92.11,,,,,
yolov8m,one_stage,macro,,0.92,61.36,81.41,57.06,89.42
yolov8m,one_stage,micro,,,91.3,91.3,91.3,91.3
yolov8m,one_stage,overall,91.3,,,,,
yolov8m,stage2,macro,,0.93,89.77,89.94,89.63,90.92
yolov8m,stage2,micro,,,86.15,86.15,86.15,86.15
yolov8m,stage2,overall,86.15,,,,,
yolov8m,two_stage_e2e,macro,,0.81,70.82,73.17,69.96,89.31
yolov8m,two_stage_e2e,micro,,,90.89,90.89,90.89,90.89
yolov8m,two_stage_e2e,overall,90.89,,,,,
